target,attempt,generation,best_objective_so_far,scipy_convergence
0.55,3,107,0.07790582290022896,0.00021297042659158797
0.55,3,108,0.07790582290022896,0.00022821006499240622
0.55,3,109,0.07790582290022896,0.00025408071695254606
0.55,3,110,0.07790582290022896,0.0002531031419861888
0.55,3,111,0.07790582290022896,0.0002528990918890964
0.55,3,112,0.07790582290022896,0.000264363112730016
0.55,3,113,0.07790582290022896,0.00026485258006751344
0.55,3,114,0.07790582290022896,0.0002652219452708166
0.55,3,115,0.07790582290022896,0.0002637229728786595
0.55,3,116,0.07790582290022896,0.00029165629152662684
0.55,3,117,0.07790582290022896,0.00029623235374917265
0.55,3,118,0.07790582290022896,0.0002968416376130113
0.55,3,119,0.07790582290022896,0.00032598965713948367
0.55,3,120,0.07790582290022896,0.0003268582713261878
0.55,3,121,0.07790364774808722,
0.55,4,1,0.12262469231064946,2.88891849684928e-08
0.55,4,2,0.0810664548330465,2.0321301375649484e-08
0.55,4,3,0.0810664548330465,3.8073228164022775e-08
0.55,4,4,0.0786992255171405,5.7343371384219454e-08
0.55,4,5,0.0786992255171405,4.5995081953485386e-08
0.55,4,6,0.0786992255171405,3.0794740828177275e-08
0.55,4,7,0.0786992255171405,4.143933947298776e-08
0.55,4,8,0.07845060267652104,4.428580884017379e-08
0.55,4,9,0.07845060267652104,1.1016873756178328e-07
0.55,4,10,0.07845060267652104,9.918478674242029e-08
0.55,4,11,0.07845060267652104,9.758083341238045e-08
0.55,4,12,0.07845060267652104,9.388838326879933e-08
0.55,4,13,0.07834695807738193,3.681931375468817e-07
0.55,4,14,0.07834695807738193,3.852097860842122e-07
0.55,4,15,0.07834695807738193,5.016577215787261e-07
0.55,4,16,0.07834695807738193,9.222544090448295e-07
0.55,4,17,0.07834695807738193,1.4216357370269914e-06
0.55,4,18,0.07834695807738193,1.8776970282651824e-06
0.55,4,19,0.07826117466124509,1.890205894257485e-06
0.55,4,20,0.07826117466124509,1.9232368082908e-06
0.55,4,21,0.07826117466124509,2.442275261260203e-06
0.55,4,22,0.07826117466124509,2.6558327293207892e-06
0.55,4,23,0.07826117466124509,2.6936403998791398e-06
0.55,4,24,0.07826117466124509,3.5450869685134492e-06
0.55,4,25,0.07826117466124509,3.588208611009009e-06
0.55,4,26,0.07826117466124509,3.6634894317564072e-06
0.55,4,27,0.07826117466124509,3.644298875572755e-06
0.55,4,28,0.07826117466124509,3.6883301831208884e-06
0.55,4,29,0.07826117466124509,3.6776069095816322e-06
0.55,4,30,0.07826117466124509,3.6912300011325253e-06
0.55,4,31,0.07826117466124509,3.690993024715724e-06
0.55,4,32,0.07826117466124509,3.8853656448632684e-06
0.55,4,33,0.07826117466124509,4.265321400409916e-06
0.55,4,34,0.07826117466124509,5.362788814451928e-06
0.55,4,35,0.07826117466124509,5.362200144783655e-06
0.55,4,36,0.07826117466124509,5.845616194490939e-06
