method,method_type,target,y_target,attempt,objective_value,optimization_time_s,n_function_evaluations,success,message,y_gp_pred,y_gp_std,max_xr_gp_pred,max_xr_gp_std,predicted_constraint_violation_gp,y_sim,error_gp,error_sim,error_gp_vs_sim,max_xr_sim,max_xb_sim,extra_reach,constraint_violation,feasible,Kb,Kr,Mb,hb,hr,f0,f1,A,x_r_start,Mr
baseline,baseline_peak_y_only,0.7,0.7,1,1.825945410929001e-05,7.586111068725586,13089,False,Maximum number of iterations has been exceeded.,0.6999885323146551,0.011033078325799148,0.5515587386119379,0.0038402646200369176,0.05655873861193794,0.6981593162052259,1.1467685344879186e-05,0.0018406837947740895,0.0018292161094292103,0.5485349722872462,0.2521456734334188,0.19815931620522587,0.048534972287246236,False,1000.0,2134.2847263928784,20.0,0.1,0.16549179784261428,0.339713812474109,1.6440319789806555,0.11686395270440783,0.3999777072800756,10.0
baseline,baseline_peak_y_only,0.7,0.7,2,1.8259586214405305e-05,7.571796417236328,13089,False,Maximum number of iterations has been exceeded.,0.6999883584932824,0.01103311702398032,0.5507886199164707,0.00384225311775669,0.05578861991647066,0.6978228533875841,1.1641506717507966e-05,0.002177146612415859,0.002165505105698351,0.5477127932968198,0.25258144706893076,0.1978228533875841,0.04771279329681977,False,1000.0,2165.0156489442697,20.0,0.1,0.16639450220118662,0.34632694788197893,1.6402389525500278,0.11701230995727144,0.3998978990863522,10.0
baseline,baseline_peak_y_only,0.7,0.7,3,1.8259254864704478e-05,8.02881932258606,13089,False,Maximum number of iterations has been exceeded.,0.6999885599817535,0.011033018320987537,0.5512047903523918,0.003841904695307733,0.05620479035239179,0.698091112654478,1.1440018246489103e-05,0.0019088873455219701,0.001897447327275481,0.5480906117272674,0.2521870468692514,0.19809111265447799,0.04809061172726736,False,1000.0,2154.2623924286495,20.0,0.1,0.1662147353091713,0.3456757111439174,1.6440669966562407,0.11695411883993274,0.3999802884120836,10.0
baseline,baseline_peak_y_only,0.7,0.7,4,1.8259364200906855e-05,7.584597826004028,13075,False,Maximum number of iterations has been exceeded.,0.6999892636900669,0.011033056068788882,0.5514799956012666,0.0038412679719020235,0.0564799956012666,0.6981473688779027,1.0736309933090382e-05,0.0018526311220972147,0.0018418948121641243,0.5484607463845567,0.2521634366850316,0.19814736887790274,0.04846074638455666,False,1000.0,2141.651700918061,20.0,0.1,0.16602432020711827,0.34026345502982563,1.64480664705416,0.11693477786074553,0.39997006469545615,10.0
baseline,baseline_peak_y_only,0.7,0.7,5,1.8260058450846005e-05,7.610601902008057,13089,False,Maximum number of iterations has been exceeded.,0.6999883815105497,0.011033259857222283,0.5514014398847394,0.0038453518254501565,0.056401439884739446,0.6984111014867402,1.1618489450304637e-05,0.0015888985132597178,0.0015772800238094131,0.5484060545967339,0.25220389106816216,0.19841110148674024,0.04840605459673386,False,1000.0,2183.6081621113567,20.0,0.1,0.16754649759616785,0.3480368427079046,1.658131168052166,0.11731532089788362,0.3999267768985215,10.0
constraint_aware,constraint_aware_peak_y_max_xr,0.7,0.7,1,0.0009685877009664114,16.459930181503296,13138,False,Maximum number of iterations has been exceeded.,0.6692740474764106,0.011688850113796929,0.4950738366946626,0.005066026446387194,7.383669466259901e-05,0.6652193245768191,0.03072595252358934,0.03478067542318086,0.004054722899591523,0.49274758450758893,0.26236106192874115,0.1652193245768191,0.0,True,1000.0,2766.249643124005,20.0,0.1,0.17529444676725325,0.45,1.0016274680250161,0.12,0.35,10.0
constraint_aware,constraint_aware_peak_y_max_xr,0.7,0.7,2,0.0009684405100758879,16.369226932525635,13110,False,Maximum number of iterations has been exceeded.,0.6692795920431284,0.011673470020302001,0.49507729387562505,0.005038626970643612,7.729387562505075e-05,0.6653375589286157,0.030720407956871587,0.034662441071384276,0.0039420331145126886,0.4928575388039828,0.2622113429249485,0.16533755892861568,0.0,True,1000.0,2741.77910032787,20.0,0.1,0.17931041801644446,0.45,1.0000576478334242,0.12,0.35,10.0
constraint_aware,constraint_aware_peak_y_max_xr,0.7,0.7,3,0.0009683022070466348,17.026925802230835,13089,False,Maximum number of iterations has been exceeded.,0.6692794638688673,0.011679908639709495,0.4950749978213268,0.005050723484271375,7.499782132680544e-05,0.6652978966554909,0.03072053613113268,0.03470210334450907,0.003981567213376391,0.4928123483220933,0.2622852779025581,0.16529789665549088,0.0,True,1000.0,2751.9523543031414,20.0,0.1,0.17766569519877048,0.45,1.000493658325287,0.12,0.35,10.0
constraint_aware,constraint_aware_peak_y_max_xr,0.7,0.7,4,0.0009682729895257304,16.532588005065918,13159,False,Maximum number of iterations has been exceeded.,0.6692808800840514,0.011680628622564311,0.4950757190005367,0.005052553495854784,7.571900053671143e-05,0.6653043143160918,0.030719119915948556,0.03469568568390813,0.003976565767959572,0.49281112844848296,0.2622973122103953,0.16530431431609183,0.0,True,1000.0,2752.401376326218,20.0,0.1,0.17761786590190778,0.45,1.0002406533564048,0.12,0.35,10.0
constraint_aware,constraint_aware_peak_y_max_xr,0.7,0.7,5,0.0009682778409005366,16.74206280708313,13152,False,Maximum number of iterations has been exceeded.,0.6692810106192367,0.01168120963053826,0.4950758551448309,0.0050535770728238035,7.585514483088307e-05,0.6652989105984719,0.03071898938076323,0.03470108940152805,0.003982100020764823,0.49280651277800114,0.26230300586244115,0.1652989105984719,0.0,True,1000.0,2753.3389971459583,20.0,0.1,0.1774586709240282,0.45,1.0003164884457316,0.12,0.35,10.0
